NCBI_ID	Title
XM_062077594.1	PREDICTED: Apis cerana carbonic anhydrase-related protein 10 (LOC107993663), transcript variant X1, mRNA
XM_062077579.1	PREDICTED: Apis cerana protein kinase C-binding protein NELL1 (LOC107993655), transcript variant X2, mRNA
XM_062077545.1	PREDICTED: Apis cerana uncharacterized LOC108002459 (LOC108002459), transcript variant X6, mRNA
XM_028669062.2	PREDICTED: Apis cerana uncharacterized LOC108002459 (LOC108002459), transcript variant X5, mRNA
XM_062077544.1	PREDICTED: Apis cerana uncharacterized LOC108002459 (LOC108002459), transcript variant X4, mRNA
XM_017064146.3	PREDICTED: Apis cerana uncharacterized LOC108002459 (LOC108002459), transcript variant X2, mRNA
XM_062077543.1	PREDICTED: Apis cerana uncharacterized LOC108002459 (LOC108002459), transcript variant X1, mRNA
XM_062077307.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X13, mRNA
XM_062077306.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X12, mRNA
XM_062077305.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X11, mRNA
XM_062077304.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X10, mRNA
XM_062077303.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X9, mRNA
XM_062077302.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X8, mRNA
XM_062077301.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X7, mRNA
XM_062077300.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X6, mRNA
XM_062077299.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X5, mRNA
XM_062077298.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X4, mRNA
XM_062077297.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X3, mRNA
XM_062077296.1	PREDICTED: Apis cerana protein couch potato (LOC107999277), transcript variant X2, mRNA
XR_009830549.1	PREDICTED: Apis cerana uncharacterized LOC133666422 (LOC133666422), ncRNA
XM_062077123.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X14, mRNA
XM_062077122.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X13, mRNA
XM_062077121.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X12, mRNA
XM_062077120.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X11, mRNA
XM_062077119.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X10, mRNA
XM_062077117.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X9, mRNA
XM_062077116.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X8, mRNA
XM_062077115.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X7, mRNA
XM_062077114.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X6, mRNA
XM_062077113.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X5, mRNA
XM_062077112.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X4, mRNA
